URI,ASN,IP Prefix,Max Length,Not Before,Not After
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/e68161a4-2ddf-4c1f-b8ef-ce2744b60852/883cf538-343a-35fa-863d-9bde33b77dcc.roa",AS6128,24.38.0.0/17,25,2013-09-30 04:00:00,2023-09-30 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/e68161a4-2ddf-4c1f-b8ef-ce2744b60852/883cf538-343a-35fa-863d-9bde33b77dcc.roa",AS6128,24.157.32.0/19,25,2013-09-30 04:00:00,2023-09-30 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/e68161a4-2ddf-4c1f-b8ef-ce2744b60852/883cf538-343a-35fa-863d-9bde33b77dcc.roa",AS6128,24.246.96.0/19,25,2013-09-30 04:00:00,2023-09-30 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/e68161a4-2ddf-4c1f-b8ef-ce2744b60852/883cf538-343a-35fa-863d-9bde33b77dcc.roa",AS6128,63.247.160.0/19,25,2013-09-30 04:00:00,2023-09-30 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/e68161a4-2ddf-4c1f-b8ef-ce2744b60852/883cf538-343a-35fa-863d-9bde33b77dcc.roa",AS6128,65.51.0.0/16,25,2013-09-30 04:00:00,2023-09-30 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/e68161a4-2ddf-4c1f-b8ef-ce2744b60852/883cf538-343a-35fa-863d-9bde33b77dcc.roa",AS6128,69.27.224.0/19,25,2013-09-30 04:00:00,2023-09-30 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/e68161a4-2ddf-4c1f-b8ef-ce2744b60852/883cf538-343a-35fa-863d-9bde33b77dcc.roa",AS6128,108.179.0.0/18,25,2013-09-30 04:00:00,2023-09-30 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/e68161a4-2ddf-4c1f-b8ef-ce2744b60852/883cf538-343a-35fa-863d-9bde33b77dcc.roa",AS6128,173.251.0.0/17,25,2013-09-30 04:00:00,2023-09-30 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/e68161a4-2ddf-4c1f-b8ef-ce2744b60852/883cf538-343a-35fa-863d-9bde33b77dcc.roa",AS6128,198.46.96.0/19,25,2013-09-30 04:00:00,2023-09-30 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/e68161a4-2ddf-4c1f-b8ef-ce2744b60852/883cf538-343a-35fa-863d-9bde33b77dcc.roa",AS6128,216.255.96.0/19,25,2013-09-30 04:00:00,2023-09-30 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/e68161a4-2ddf-4c1f-b8ef-ce2744b60852/883cf538-343a-35fa-863d-9bde33b77dcc.roa",AS6128,2602:230::/32,64,2013-09-30 04:00:00,2023-09-30 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/e68161a4-2ddf-4c1f-b8ef-ce2744b60852/883cf538-343a-35fa-863d-9bde33b77dcc.roa",AS6128,2607:fda8::/32,64,2013-09-30 04:00:00,2023-09-30 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/e6c7f8d7-4c06-4480-bbd8-71cf97b216b6/0db4ac2a-bb53-3e5f-b8fe-827975d753e3.roa",AS54145,204.194.22.0/23,24,2012-11-02 04:00:00,2022-11-02 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/e6c7f8d7-4c06-4480-bbd8-71cf97b216b6/e46efef8-472f-3832-9f2b-d98c61ca4ef9.roa",AS6450,204.194.22.0/23,24,2012-11-02 04:00:00,2022-11-02 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/e6c7f8d7-4c06-4480-bbd8-71cf97b216b6/e46efef8-472f-3832-9f2b-d98c61ca4ef9.roa",AS6450,2620:95:8000::/48,64,2012-11-02 04:00:00,2022-11-02 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/e6c7f8d7-4c06-4480-bbd8-71cf97b216b6/ee2cf6a1-ecef-3124-aff8-0068d0aeb371.roa",AS54054,204.194.22.0/23,24,2012-11-02 04:00:00,2022-11-02 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/e6c7f8d7-4c06-4480-bbd8-71cf97b216b6/ee2cf6a1-ecef-3124-aff8-0068d0aeb371.roa",AS54054,2620:95:8000::/48,64,2012-11-02 04:00:00,2022-11-02 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/ec622a77-08dc-4f1f-9ca2-9234885cc9e8/05fac664-eb85-37fa-ad7d-499007fb48ee.roa",AS54651,192.33.23.0/24,,2014-07-16 04:00:00,2024-07-16 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/ec622a77-08dc-4f1f-9ca2-9234885cc9e8/633f6a7c-42af-342b-8fa9-c3680ee71a86.roa",AS53998,192.33.22.0/24,,2014-07-16 04:00:00,2024-07-16 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/f0421b26-017d-4996-83ed-00d627f7fd53/e6e878fb-79c9-3497-bad1-dfa15e85cea7.roa",AS29834,199.66.236.0/22,24,2013-12-10 05:00:00,2023-12-10 05:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/f29918e2-971b-4c6a-bc57-75bdb88796a9/16a01828-a773-33f2-83c1-0d9de7ae76c6.roa",AS32590,162.254.192.0/21,24,2013-09-03 04:00:00,2023-09-03 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/f29918e2-971b-4c6a-bc57-75bdb88796a9/2427250f-9572-3c12-a905-8148cbe1c196.roa",AS32590,205.196.6.0/24,24,2013-09-03 04:00:00,2023-09-03 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/f29918e2-971b-4c6a-bc57-75bdb88796a9/2427250f-9572-3c12-a905-8148cbe1c196.roa",AS32590,208.64.200.0/22,24,2013-09-03 04:00:00,2023-09-03 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/f29918e2-971b-4c6a-bc57-75bdb88796a9/2427250f-9572-3c12-a905-8148cbe1c196.roa",AS32590,208.78.164.0/22,24,2013-09-03 04:00:00,2023-09-03 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/f29918e2-971b-4c6a-bc57-75bdb88796a9/4f557bf4-a202-3b14-bef1-7595ebc92550.roa",AS32590,2620:f9::/44,48,2013-09-03 04:00:00,2023-09-03 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/f29918e2-971b-4c6a-bc57-75bdb88796a9/cdbc81fc-d0e5-3dc7-b50a-582bc4d92fad.roa",AS32590,192.69.96.0/22,24,2013-09-03 04:00:00,2023-09-03 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/f32837b4-0a36-4896-9fdf-ca41e3c848f3/ab0417bd-e109-3009-93c0-f235c176e944.roa",AS62830,198.62.201.0/24,,2013-10-21 04:00:00,2023-10-21 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/f32837b4-0a36-4896-9fdf-ca41e3c848f3/ab0417bd-e109-3009-93c0-f235c176e944.roa",AS62830,2620:52:4000::/48,,2013-10-21 04:00:00,2023-10-21 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/f32917d5-115d-4c33-8f66-98c515f1b37c/fec3b062-b9c9-39cf-96e7-4fe27e9416e6.roa",AS14556,74.114.188.0/22,24,2015-09-11 04:00:00,2025-09-11 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/f4966faf-2622-44f3-9089-90a353bb44b9/4076860b-5b57-37ae-abe5-e97259e7c07a.roa",AS62541,198.24.10.0/23,,2013-07-10 04:00:00,2023-07-10 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/f6308ea7-41cb-4f1a-9e74-20196b94d4ff/155cb2eb-aecb-3fab-b61a-1db2647a0a13.roa",AS29854,2607:6880::/32,,2016-04-07 04:00:00,2026-04-07 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/f6308ea7-41cb-4f1a-9e74-20196b94d4ff/1ed02201-3a35-3be1-90fb-7b49efeac0df.roa",AS29854,74.123.244.0/22,,2016-04-07 04:00:00,2026-04-07 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/faabd4d2-d007-47ce-aeb1-098f9db2cc81/2e65219f-29ff-3573-8d5a-86fb730a80a5.roa",AS62695,192.154.0.0/24,24,2013-08-28 04:00:00,2023-08-28 04:00:00
